tt3794028,Mal de pierres,2017,23/06/2017,120,"France, Belgium, Canada",$ 13025034,"French, Spanish, German",Trésor Films
tt3794392,After the Reality,2017,25/04/2017,85,USA,,English,USofAnderson I
tt3823672,A.R.C.H.I.E.,2017,07/06/2017,88,Canada,,,Creation Ink
tt3829276,El tamaño sí importa,2017,27/01/2017,96,Mexico,$ 1575662,Spanish,Cyclus Producciones
tt3838802,Blood Stripe,2017,29/09/2017,92,USA,,English,Wakemup Productions
tt3839880,Infinity Chamber,2017,15/09/2017,103,USA,,English,Latest Trick Productions
tt3853830,The Tiger Hunter,2017,22/09/2017,94,USA,$ 62398,English,Sneaky Sneaky Films
tt3886604,Between Us,2017,06/01/2017,100,USA,,English,Caviar
tt3893280,The Ticket,2017,07/04/2017,97,USA,,English,BCDF Pictures
tt3896738,Hounds of Love,2017,01/06/2017,108,Australia,$ 234419,English,Factor 30 Films
tt3901944,Country Crush,2017,14/03/2017,96,Canada,,English,Good Soldier Films
tt3904278,We Go On,2017,07/02/2017,89,USA,,English,Filmed Imagination
tt3908142,The Love Witch,2017,10/03/2017,120,USA,$ 246218,English,Anna Biller Productions
tt3914332,(Dean),2017,02/06/2017,94,USA,$ 254536,English,Abbolita Productions
tt3948764,Chicago Rot,2017,04/04/2017,100,USA,,English,Dakini Productions
tt3954660,Suntan,2017,28/04/2017,104,"Greece, Germany",$ 157267,"Greek, English",Faliro House Productions
tt3969208,Trust Fund,2017,18/07/2017,107,USA,$ 36885,English,KC Film Office
tt3973012,Women Who Kill,2017,26/07/2017,93,USA,,English,
tt3974320,Bieffekterna,2017,20/03/2017,93,Sweden,,Swedish,Climent / Hedetoft Film
tt3990782,Radio Dreams,2017,19/05/2017,93,"USA, Iran",$ 27836,"Persian, English, Assyrian Neo-Aramaic, Dari",Butimar Productions
tt4010848,Lost Solace,2017,01/01/2017,106,Canada,,English,
tt4016934,Ah-ga-ssi,2017,14/04/2017,145,South Korea,$ 37767206,"Korean, Japanese",Moho Film
tt4034228,Manchester by the Sea,2017,13/01/2017,137,USA,$ 78988148,English,Amazon Studios
tt4034390,Cut to the Chase,2017,07/03/2017,90,USA,,English,Capital Arts Entertainment
tt4047846,Home,2017,11/01/2017,103,Belgium,,"Flemish, Dutch",Centre du Cinéma et de lAudiovisuel de la Fédération Wallonie-Bruxelles
tt4048272,Toni Erdmann,2017,03/02/2017,162,"Germany, Austria, Monaco, Romania, France, Switzerland",$ 11784207,"German, English, Romanian",Komplizen Film
tt4058012,96 Souls,2017,26/05/2017,112,USA,,English,SJPL Films
tt4061944,Te Ata,2017,13/10/2017,105,USA,$ 73236,English,Chickasaw Nation Productions
tt4066836,Miles,2017,09/06/2017,90,USA,$ 2537,English,Cranium Entertainment
tt4068586,Year by the Sea,2017,08/09/2017,114,USA,,English,Montabela Productions
tt4074928,Realive,2017,13/01/2017,112,"Belgium, Spain, France",$ 125680,English,Arcadia Motion Pictures
tt4078162,Monochrome,2017,06/06/2017,113,UK,,English,Electric Flix
tt4125372,Dusty and Me,2017,01/01/2017,94,UK,,English,Keep Your Trap Shut
tt4126434,Before the Fall,2017,30/05/2017,92,USA,,English,Washington House
tt4126694,One Night,2017,10/02/2017,80,USA,,English,Sorrento Productions
tt4129802,Vermelho Russo,2017,27/04/2017,90,"Brazil, Portugal, Russia",$ 817,"English, Portuguese, Russian, Spanish",Muiraquitã Filmes
tt4156972,Opening Night,2017,02/06/2017,90,USA,,English,Dark Factory Entertainment
tt4158096,Free Fire,2017,31/03/2017,91,UK,$ 3719383,English,Film4
tt4160706,Live Cargo,2017,31/03/2017,88,"Bahamas, USA",,English,SimonSays Entertainment
tt4181270,Window Horses: The Poetic Persian Epiphany of Rosie Ming,2017,10/11/2017,85,Canada,,English,
tt4185566,Another Evil,2017,05/05/2017,90,USA,,English,Memory
tt4191702,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,2017,09/06/2017,118,"Israel, USA",$ 6217567,"English, Hebrew",Blackbird
tt4197474,Tatara Samurai,2017,20/05/2017,135,Japan,$ 431640,Japanese,Aoi Promotion
tt4210112,Nakom,2017,03/03/2017,90,"Ghana, USA",,English,Rasquache Films
tt4211312,The White King,2017,27/01/2017,89,"UK, Germany, Sweden, Hungary",$ 14074,English,Oiffy
tt4227282,Wrecker,2017,06/01/2017,83,Canada,,English,IW Wrecker Productions
tt4242100,My Father Die,2017,20/01/2017,90,USA,$ 4252,"American Sign Language, English",KnightMarcher
tt4250438,11:55,2017,09/06/2017,80,USA,,English,Gigi Films
tt4255304,The Void,2017,31/03/2017,90,Canada,$ 368372,English,120dB Films
tt4276820,The Founder,2017,17/02/2017,115,USA,$ 24121245,"English, Yiddish",The Weinstein Company
tt4283414,And Punching the Clown,2017,24/02/2017,95,USA,,English,Permut Presentations
tt4291600,Lady Macbeth,2017,28/04/2017,89,UK,$ 5401447,English,Sixty Six Pictures
tt4303202,American Wrestler: The Wizard,2017,16/05/2017,117,USA,,"English, Persian, French, Spanish",ESX Entertainment
tt4305148,Lovesong,2017,17/02/2017,84,USA,$ 10626,English,Autumn Productions
tt4334266,The Bad Batch,2017,23/06/2017,118,USA,$ 201890,English,Human Stew Factory
tt4357714,The Sex Trip,2017,22/08/2017,90,USA,$ 14178,English,Bridgegate FIlms
tt4371680,Icaros: A Vision,2017,19/05/2017,91,"Peru, USA",$ 5510,"English, Spanish",Conibo Productions
